DATE,MIXRSA
1998-07-01,92.657800175159
1998-08-01,92.90759240183701
1998-09-01,93.06796828034
1998-10-01,93.14075546665
1998-11-01,93.37179655220301
1998-12-01,93.568893191267
1999-01-01,93.94536504755199
1999-02-01,94.428977558356
1999-03-01,95.11681805027
1999-04-01,95.851682473035
1999-05-01,96.179693185061
1999-06-01,96.080170051576
1999-07-01,96.79035913560499
1999-08-01,97.280390894699
1999-09-01,97.888278810891
1999-10-01,97.946990257134
1999-11-01,98.54636048851201
1999-12-01,99.31631561161998
2000-01-01,99.943409184338
2000-02-01,100.473786613288
2000-03-01,101.08646179978099
2000-04-01,102.011262714044
2000-05-01,102.752968549709
2000-06-01,103.40579537509899
2000-07-01,103.69626140183
2000-08-01,104.35609000275
2000-09-01,105.107967677764
2000-10-01,106.096700594785
2000-11-01,107.403797977226
2000-12-01,108.65895244362801
2001-01-01,110.241082213223
2001-02-01,111.073781269709
2001-03-01,112.270467177224
2001-04-01,113.525242848403
2001-05-01,114.77376418613399
2001-06-01,115.905358467973
2001-07-01,117.13362692619499
2001-08-01,118.292651815654
2001-09-01,119.521838176518
2001-10-01,121.090619810678
2001-11-01,122.701212184477
2001-12-01,123.765778398769
2002-01-01,124.49816376236
2002-02-01,125.427680640221
2002-03-01,126.64891709570601
2002-04-01,128.093302623049
2002-05-01,129.791916446284
2002-06-01,131.56750259462
2002-07-01,133.480743482643
2002-08-01,134.907996927313
2002-09-01,136.58184116668698
2002-10-01,138.266421172176
2002-11-01,139.83731961624702
2002-12-01,141.705794838953
2003-01-01,143.77506743338998
2003-02-01,145.87225749100202
2003-03-01,147.389127677928
2003-04-01,148.699961179376
